name_en,desc_en,name_ru,desc_ru,name_th,desc_th,name_zh,desc_zh,name_ar,desc_ar,id_external,published,section,price_1,price_1_calorie,price_1_desc_en,price_1_desc_ru,price_1_desc_th,price_1_desc_zh,is_snooze,food_color_code,is_new,is_signature,is_chefs_special,is_must_try,is_best_seller,is_our_favorite,is_healthy,preparation_time,stock
"Phuket Fish Ball","Phuket style fish ball.","Рыбные шарики по-пхукетски","Рыбные шарики по-пхукетски.","ลูกชิ้นปลาภูเก็ต","ลูกชิ้นปลาสไตล์ภูเก็ต","普吉鱼丸","普吉风味鱼丸。","كرات السمك البوكيتية","كرات السمك على الطريقة البوكيتية.","","Yes","Phuket Special","300","","","","","","","","","","","","","","","",""
"Crème Brûlée","Vanilla Egg Custard served with Salted Caramel Ice Cream.","Крем-брюле","Ванильный крем-брюле с мороженым солёная карамель.","ครีมบรูเล่","คัสตาร์ดวานิลลา เสิร์ฟพร้อมไอศกรีมคาราเมลเกลือ","焦糖布丁","香草蛋奶布丁，配海盐焦糖冰淇淋。","كريم بروليه","كاسترد الفانيليا يقدم مع آيس كريم الكراميل المملح.","","Yes","Sweet Ending (Desserts)","365","","","","","","","","","","","","","","","",""
"Mango Sticky Rice","Ripe Mango, Coconut Sticky Rice, Coconut Sauce, Mung Bean, and Coconut Ice Cream.","Манго с клейким рисом","Спелое манго, кокосовый клейкий рис, кокосовый соус, маш и кокосовое мороженое.","ข้าวเหนียวมะม่วง","มะม่วงสุก ข้าวเหนียวมูน น้ำกะทิ ถั่วเขียว และไอศกรีมกะทิ","芒果糯米饭","熟芒果、椰香糯米、椰浆、绿豆与椰子冰淇淋。","أرز لزج بالمانجو","مانجو ناضجة وأرز لزج بجوز الهند وصلصة جوز الهند والفاصولياء وآيس كريم جوز الهند.","","Yes","Sweet Ending (Desserts)","285","","","","","","","","","Yes","","","","","","",""
"I-Tim Kati","Thai Coconut Ice Cream, Sticky rice, Mango and Peanut.","Кокосовое мороженое","Тайское кокосовое мороженое с клейким рисом, манго и арахисом.","ไอติมกะทิ","ไอศกรีมกะทิ ข้าวเหนียว มะม่วง และถั่วลิสง","椰子冰淇淋","泰式椰子冰淇淋，配糯米、芒果与花生。","آيس كريم جوز الهند","آيس كريم جوز الهند التايلاندي مع الأرز اللزج والمانجو والفول السوداني.","","Yes","Sweet Ending (Desserts)","285","","","","","","","","","","","","","","","",""
"Banana Split","3 scoops of Ice Cream, Banana, Whipping Cream, and Chocolate Sauce.","Банана сплит","Три шарика мороженого, банан, взбитые сливки и шоколадный соус.","บานาน่าสปลิท","ไอศกรีม 3 สกู๊ป กล้วย วิปครีม และซอสช็อกโกแลต","香蕉船","三球冰淇淋、香蕉、鲜奶油与巧克力酱。","بانانا سبليت","ثلاث كرات آيس كريم مع الموز والكريمة المخفوقة وصلصة الشوكولاتة.","","Yes","Sweet Ending (Desserts)","265","","","","","","","","","","","","","","","",""
"Bua Loy Phuak","Thai Taro Ball in Sweet Warm Coconut Milk.","Буа Лой с таро","Шарики из таро в тёплом сладком кокосовом молоке.","บัวลอยเผือก","บัวลอยเผือกในน้ำกะทิอุ่นหวานมัน","芋圆椰奶","温热椰奶芋圆。","بوا لوي بالقلقاس","كرات القلقاس في حليب جوز الهند الدافئ.","","Yes","Sweet Ending (Desserts)","265","","","","","","","","","","","","","","","",""
"Exotic Fruit Platter","Mixed Local Seasonal Fruits.","Фруктовая тарелка","Ассорти местных сезонных фруктов.","ผลไม้รวมตามฤดูกาล","ผลไม้สดตามฤดูกาล","时令水果拼盘","当地时令水果拼盘。","طبق الفواكه","تشكيلة من الفواكه الموسمية المحلية.","","Yes","Sweet Ending (Desserts)","240","","","","","","","","","","","","","","","",""
"Khao Niew Dum","Black Glutinous rice served with Coconut Ice Cream.","Чёрный клейкий рис","Чёрный клейкий рис с кокосовым мороженым.","ข้าวเหนียวดำ","ข้าวเหนียวดำ เสิร์ฟพร้อมไอศกรีมกะทิ","黑糯米甜品","黑糯米配椰子冰淇淋。","أرز أسود لزج","أرز أسود لزج يقدم مع آيس كريم جوز الهند.","","Yes","Sweet Ending (Desserts)","235","","","","","","","","","","","","","","","",""
"Pinocchio's Bacon Cheesy Fries","French fries topped with melted Cheese & crispy Bacon.","Картофель фри с беконом и сыром","Картофель фри с расплавленным сыром и хрустящим беконом.","เฟรนช์ฟรายส์ชีสเบคอน","เฟรนช์ฟรายส์ราดชีสและเบคอนกรอบ","培根芝士薯条","薯条配融化芝士与香脆培根。","بطاطس بالجبن واللحم المقدد","بطاطس مقلية مع الجبن الذائب واللحم المقدد المقرمش.","","Yes","Kids Menu - Appetizer","120","","","","","","","","","","","","","","","",""
"Harry Potter's Cheesy Fries","Classic golden fries with warm Cheese sauce.","Картофель фри с сырным соусом","Классический золотистый картофель фри с тёплым сырным соусом.","เฟรนช์ฟรายส์ชีส","เฟรนช์ฟรายส์ทอดกรอบ เสิร์ฟพร้อมซอสชีส","芝士薯条","经典金黄薯条配温热芝士酱。","بطاطس بصلصة الجبن","بطاطس مقلية ذهبية مع صلصة الجبن الدافئة.","","Yes","Kids Menu - Appetizer","100","","","","","","","","","","","","","","","",""
"Winnie the Pooh's Mushroom Soup","Creamy wild mushroom soup with crispy croutons.","Грибной крем-суп","Крем-суп из лесных грибов с хрустящими крутонами.","ซุปเห็ดครีม","ซุปครีมเห็ดป่า เสิร์ฟพร้อมขนมปังกรอบ","蘑菇奶油汤","野生蘑菇奶油汤配香脆面包丁。","شوربة الفطر","شوربة كريمة الفطر البري مع خبز محمص مقرمش.","","Yes","Kids Menu - Soup","80","","","","","","","","","","","","","","","",""
"Piglet's Chicken Soup","Grilled Chicken Cream Soup with Crispy Crouton.","Куриный крем-суп","Куриный крем-суп с хрустящими крутонами.","ซุปครีมไก่","ซุปครีมไก่ย่าง เสิร์ฟพร้อมขนมปังกรอบ","奶油鸡汤","烤鸡奶油汤配香脆面包丁。","شوربة الدجاج","شوربة كريمة الدجاج المشوي مع خبز محمص مقرمش.","","Yes","Kids Menu - Soup","80","","","","","","","","","","","","","","","",""
"Donald Duck's Chicken Nuggets","Deep fried Chicken Nuggets.","Куриные наггетсы","Куриные наггетсы во фритюре.","นักเก็ตไก่","นักเก็ตไก่ทอด","炸鸡块","香炸鸡块。","قطع الدجاج المقلية","قطع دجاج مقلية.","","Yes","Kids Menu - Main Course","120","","","","","","","","","","","","","","","",""
"Moana's Hawaiian Pizza","Small sized Hawaiian Pizza with ham and juicy pineapple pieces.","Гавайская пицца","Небольшая гавайская пицца с ветчиной и сочным ананасом.","พิซซ่าฮาวายเอี้ยน","พิซซ่าถาดเล็ก แฮมและสับปะรด","夏威夷披萨","小份夏威夷披萨，火腿与多汁菠萝。","بيتزا هاواي","بيتزا هاواي صغيرة مع الجامبون والأناناس.","","Yes","Kids Menu - Main Course","120","","","","","","","","","","","","","","","",""
"Peter Pan's Pizza","Small Margherita pizza.","Пицца Маргарита","Небольшая пицца Маргарита.","พิซซ่ามาร์เกอริต้า","พิซซ่ามาร์เกอริต้าถาดเล็ก","玛格丽特披萨","小份玛格丽特披萨。","بيتزا مارغريتا","بيتزا مارغريتا صغيرة.","","Yes","Kids Menu - Main Course","100","","","","","","","","","","","","","","","",""
"Raya's Dragon Fried Rice","Egg Fried Rice with Chicken Sausage.","Жареный рис с яйцом и колбаской","Жареный рис с яйцом и куриной колбаской.","ข้าวผัดไข่ไส้กรอกไก่","ข้าวผัดไข่ใส่ไส้กรอกไก่","鸡肉香肠蛋炒饭","鸡肉香肠蛋炒饭。","أرز مقلي بالبيض والسجق","أرز مقلي بالبيض مع سجق الدجاج.","","Yes","Kids Menu - Main Course","80","","","","","","","","","","","","","","","",""
"Donald Duck's Grilled Cheese","Grilled Chicken Ham and Cheese Sandwiches.","Горячий сэндвич с сыром","Горячий сэндвич с куриной ветчиной и сыром.","แซนด์วิชแฮมชีสย่าง","แซนด์วิชแฮมไก่และชีสย่าง","烤芝士三明治","烤鸡肉火腿芝士三明治。","ساندويتش الجبن المشوي","ساندويتش مشوي بجامبون الدجاج والجبن.","","Yes","Kids Menu - Main Course","100","","","","","","","","","","","","","","","",""
"Aquaman Fish & Chips","Deep fried Sea bass fillet served with French Fries.","Рыба с картофелем фри","Филе сибаса во фритюре с картофелем фри.","ฟิชแอนด์ชิปส์เด็ก","ปลากะพงทอด เสิร์ฟพร้อมเฟรนช์ฟรายส์","炸鱼薯条","香炸鲈鱼柳配薯条。","سمك وبطاطس","فيليه القاروص المقلي مع البطاطس المقلية.","","Yes","Kids Menu - Main Course","100","","","","","","","","","","","","","","","",""
"The Hulk Smash Burger","Beef patty burger with caramelized onions, cheese, and French fries.","Бургер с говядиной","Бургер с говяжьей котлетой, карамелизированным луком, сыром и картофелем фри.","เบอร์เกอร์เนื้อ","เบอร์เกอร์เนื้อ หอมใหญ่คาราเมล ชีส เสิร์ฟพร้อมเฟรนช์ฟรายส์","牛肉汉堡","牛肉汉堡配焦糖洋葱、芝士与薯条。","برغر لحم البقر","برغر لحم بقري مع البصل المكرمل والجبن والبطاطس المقلية.","","Yes","Kids Menu - Main Course","150","","","","","","","","","","","","","","","",""
"Chicken Little Buffalo Wings","Crispy chicken wings with sweet honey BBQ sauce and vegetable batonnets.","Куриные крылышки барбекю","Хрустящие крылышки с медовым соусом барбекю и овощными палочками.","ปีกไก่ทอดซอสบาร์บีคิว","ปีกไก่ทอดกรอบ ซอสน้ำผึ้งบาร์บีคิว เสิร์ฟพร้อมผักสด","蜂蜜烧烤鸡翅","香脆鸡翅配蜂蜜烧烤酱与鲜蔬条。","أجنحة دجاج بالباربكيو","أجنحة دجاج مقرمشة مع صلصة الباربكيو بالعسل وأصابع الخضار.","","Yes","Kids Menu - Main Course","150","","","","","","","","","","","","","","","",""
"Mulan and Mushu Crispy Roll","Deep fried Crispy spring roll with ripe papaya and plum sauce.","Хрустящие спринг-роллы","Хрустящие спринг-роллы со спелой папайей и сливовым соусом.","ปอเปี๊ยะทอดกรอบ","ปอเปี๊ยะทอดกรอบ เสิร์ฟพร้อมซอสบ๊วย","香脆春卷","香脆炸春卷，配熟木瓜与梅子酱。","سبرينغ رول مقرمش","سبرينغ رول مقرمش مع البابايا الناضجة وصلصة البرقوق.","","Yes","Kids Menu - Main Course","100","","","","","","","","","","","","","","","",""
"Spider Man's Spaghetti Web","Pasta with your choice of Tomato or Bolognese sauce served with Garlic Bread.","Спагетти","Паста на выбор с томатным или болоньезе соусом, подаётся с чесночным хлебом.","สปาเกตตีจานเล็ก","สปาเกตตีซอสมะเขือเทศหรือโบโลเนส เสิร์ฟพร้อมขนมปังกระเทียม","意大利面","意面可选番茄酱或肉酱，配蒜香面包。","سباغيتي","باستا مع صلصة الطماطم أو البولونيز تقدم مع خبز الثوم.","","Yes","Kids Menu - Main Course","100","","Tomato 100.- / Bolognese 150.-","","","","","","","Yes","","","","","","",""
"Elsa Frozen Ice Cream","A scoop of vanilla, chocolate, or strawberry ice cream topped with mixed fruits and cookies.","Мороженое","Шарик ванильного, шоколадного или клубничного мороженого с фруктами и печеньем.","ไอศกรีม","ไอศกรีมวานิลลา ช็อกโกแลต หรือสตรอว์เบอร์รี ท็อปด้วยผลไม้และคุกกี้","冰淇淋","一球香草、巧克力或草莓冰淇淋，配什锦水果与曲奇。","آيس كريم","كرة آيس كريم بالفانيليا أو الشوكولاتة أو الفراولة مع الفواكه والبسكويت.","","Yes","Kids Menu - Dessert","120","","","","","","","","","","","","","","","",""
"Chang","","Чанг","","ช้าง","","象牌啤酒","","تشانغ","","","Yes","Beers","180","","","","","","","","","","","","","","","",""
"Singha","","Сингха","","สิงห์","","胜狮啤酒","","سينغها","","","Yes","Beers","180","","","","","","","","","","","","","","","",""
"Heineken","","Хайнекен","","ไฮเนเก้น","","喜力啤酒","","هاينكن","","","Yes","Beers","180","","","","","","","","","","","","","","","",""
"Corona","","Корона","","โคโรน่า","","科罗娜啤酒","","كورونا","","","Yes","Beers","320","","","","","","","","","","","","","","","",""
"Watermelon","","Арбузный","","น้ำแตงโม","","西瓜汁","","البطيخ","","","Yes","Fresh Cold Pressed Juice","200","","","","","","","","","","","","","","","",""
"Carrot","","Морковный","","น้ำแครอท","","胡萝卜汁","","الجزر","","","Yes","Fresh Cold Pressed Juice","200","","","","","","","","","","","","","","","",""
"Orange","","Апельсиновый","","น้ำส้ม","","橙汁","","البرتقال","","","Yes","Fresh Cold Pressed Juice","200","","","","","","","","","","","","","","","",""
"Pineapple","","Ананасовый","","น้ำสับปะรด","","菠萝汁","","الأناناس","","","Yes","Fresh Cold Pressed Juice","200","","","","","","","","","","","","","","","",""
"Coconut Organic","","Кокосовая вода","","น้ำมะพร้าวออร์แกนิก","","有机椰子水","","ماء جوز الهند","","","Yes","Fruit Juices","190","","","","","","","","Yes","","","","","","",""
"Sprite BTL","","Спрайт","","สไปรท์ (ขวด)","","雪碧","","سبرايت","","","Yes","Soft Drinks","120","","","","","","","","","","","","","","","",""
"Coke BTL","","Кока-кола","","โค้ก (ขวด)","","可口可乐","","كوكاكولا","","","Yes","Soft Drinks","120","","","","","","","","","","","","","","","",""
"Diet Coke","","Диет Кола","","โค้กไดเอท","","健怡可乐","","كوكاكولا دايت","","","Yes","Soft Drinks","120","","","","","","","","","","","","","","","",""
"Fever-Tree Indian Tonic","","Тоник Fever-Tree","","ฟีเวอร์ทรี อินเดียนโทนิค","","汤力水","","فيفر تري تونيك","","","Yes","Soft Drinks","170","","","","","","","","","","","","","","","",""
"Fever-Tree Ginger Ale","","Имбирный эль Fever-Tree","","ฟีเวอร์ทรี จินเจอร์เอล","","姜汁汽水","","فيفر تري جنجر إيل","","","Yes","Soft Drinks","170","","","","","","","","","","","","","","","",""
"S.Pellegrino Sparkling (500ml)","","С.Пеллегрино","","น้ำแร่อัดลม เอส.เพลเลกริโน","","圣培露气泡水","","سان بيليجرينو","","","Yes","Mineral Water","230","","","","","","","","","","","","","","","",""
"Aqua Panna Still (750ml)","","Аква Панна","","น้ำแร่ อควาพันนา","","阿夸帕娜矿泉水","","أكوا بانا","","","Yes","Mineral Water","270","","","","","","","","","","","","","","","",""
"Blue Raspberry","","Голубая малина","","บลูราสเบอร์รี","","蓝莓","","توت أزرق","","","Yes","Blended","220","","","","","","","","","","","","","","","",""
"Watermelon","","Арбуз","","แตงโม","","西瓜","","بطيخ","","","Yes","Blended","220","","","","","","","","","","","","","","","",""
"Passion Fruit","","Маракуйя","","เสาวรส","","百香果","","باشن فروت","","","Yes","Blended","220","","","","","","","","","","","","","","","",""
"Mango","","Манго","","มะม่วง","","芒果","","مانجو","","","Yes","Blended","220","","","","","","","","","","","","","","","",""
"Lemon & Lime","","Лимон и лайм","","เลมอนและมะนาว","","柠檬青柠","","ليمون ولايم","","","Yes","Blended","220","","","","","","","","","","","","","","","",""
"Strawberry","","Клубника","","สตรอว์เบอร์รี","","草莓","","فراولة","","","Yes","Blended","220","","","","","","","","","","","","","","","",""
"Banana Blended","","Банановый шейк","","กล้วยปั่น","","香蕉奶昔","","موز مخفوق","","","Yes","Fruit Shakes Smoothie","180","","","","","","","","","","","","","","","",""
"Pineapple","","Ананасовый шейк","","สับปะรดปั่น","","菠萝奶昔","","أناناس مخفوق","","","Yes","Fruit Shakes Smoothie","180","","","","","","","","","","","","","","","",""
"Mango","","Манговый шейк","","มะม่วงปั่น","","芒果奶昔","","مانجو مخفوق","","","Yes","Fruit Shakes Smoothie","180","","","","","","","","","","","","","","","",""
"Thai Lemonade","","Тайский лимонад","","ไทยเลมอนเนด","","泰式柠檬水","","ليموناضة تايلاندية","","","Yes","Homemade Mocktails","240","","","","","","","","","","","","","","","",""
"Marmalade Splashing","","Мармелад Сплэшинг","","มาร์มาเลด สแปลชชิ่ง","","果酱气泡特饮","","مارميلاد سبلاشينغ","","","Yes","Homemade Mocktails","240","","","","","","","","","","","","","","","",""
"Ginger Refreshing","","Имбирный напиток","","จินเจอร์ รีเฟรชชิ่ง","","生姜特饮","","مشروب الزنجبيل","","","Yes","Homemade Mocktails","240","","","","","","","","","","","","","","","",""
"ANDAMAN Phuket Dark Ale (330 ml.)","British-style Brown Ale, the brewery's inaugural recipe crafted with rare Maris Otter malt. Caramel toffee, light biscuit and subtle floral notes with an espresso finish. Medium-bodied, crisp and refreshing; best served at 10°C.","ANDAMAN Phuket Dark Ale (330 мл)","Браун-эль в британском стиле, первый рецепт пивоварни на редком солоде Maris Otter. Карамельная ириска, лёгкое печенье и цветочные ноты с финишем эспрессо. Среднее тело, свежий вкус; подавать при 10°C.","อันดามัน ภูเก็ต ดาร์กเอล (330 มล.)","บราวน์เอลสไตล์อังกฤษ สูตรแรกของโรงเบียร์ ใช้มอลต์ Maris Otter หายาก กลิ่นคาราเมลทอฟฟี่ บิสกิต และดอกไม้อ่อน ๆ จบด้วยกลิ่นเอสเปรสโซ บอดี้กลาง สดชื่น เสิร์ฟที่ 10°C","安达曼普吉黑啤 (330毫升)","英式棕色艾尔，酒厂首款配方，采用稀有 Maris Otter 麦芽。焦糖太妃、淡饼干与细致花香，尾韵带浓缩咖啡。中等酒体，清爽宜人，建议 10°C 饮用。","أندامان بوكيت دارك إيل (330 مل)","إيل بني على الطريقة البريطانية من أول وصفة للمصنع بشعير ماريس أوتر النادر. كراميل التوفي والبسكويت الخفيف ولمسات زهرية مع نهاية إسبريسو. قوام متوسط ومنعش، يقدم على 10 درجات.","","Yes","Phuket Local Craft Beer","330","","","","","","","","","","","","","","","",""
"BUSSABA Ex-Weisse (330 ml.)","Traditional German Weissbier infused with local Torch Ginger Flower. Ripe tropical fruits, clove notes from German yeast and authentic Thai floral aromas. Bright golden colour with smooth velvety foam and a well-rounded finish.","BUSSABA Ex-Weisse (330 мл)","Традиционное немецкое пшеничное пиво с местным цветком торч-имбиря. Спелые тропические фрукты, гвоздика от немецких дрожжей и тайские цветочные ароматы. Яркий золотистый цвет, бархатистая пена.","บุษบา เอ็กซ์-ไวเซ่ (330 มล.)","ไวเซ่นเบียร์เยอรมันดั้งเดิม ผสมดอกดาหลาท้องถิ่น กลิ่นผลไม้เมืองร้อนสุก กานพลูจากยีสต์เยอรมัน และกลิ่นดอกไม้ไทยแท้ สีทองสดใส ฟองนุ่มละมุน","布萨巴小麦白啤 (330毫升)","传统德式小麦白啤，融入本地火炬姜花。成熟热带水果、德国酵母带来的丁香气息与泰式花香。明亮金黄色，绵密顺滑泡沫，收尾圆润。","بوسابا إكس-فايسه (330 مل)","بيرة قمح ألمانية تقليدية منقوعة بزهرة الزنجبيل المحلية. فواكه استوائية ناضجة ولمسات القرنفل مع روائح زهرية تايلاندية. لون ذهبي زاهٍ ورغوة ناعمة.","","Yes","Phuket Local Craft Beer","330","","","","","","","","","","","","","","","",""
"SAY PLAY Cold IPA - Low Calories (490 ml.)","Low-calorie Cold IPA, highly crushable and perfect for parties. Passion fruit combined with sweet Thai pineapple for a unique tropical punch. Clean golden colour, light body, subtle bitterness and a crisp finish.","SAY PLAY Cold IPA — низкокалорийный (490 мл)","Низкокалорийный Cold IPA, лёгкий и идеальный для вечеринок. Маракуйя со сладким тайским ананасом. Чистый золотистый цвет, лёгкое тело, мягкая горечь.","เซย์เพลย์ โคลด์ไอพีเอ แคลอรีต่ำ (490 มล.)","โคลด์ไอพีเอแคลอรีต่ำ ดื่มง่าย เหมาะกับปาร์ตี้ กลิ่นเสาวรสผสมสับปะรดไทยหวาน สีทองใส บอดี้เบา ขมเล็กน้อย จบสะอาด","SAY PLAY 冷泡IPA 低卡 (490毫升)","低卡冷泡IPA，顺口易饮，派对首选。百香果结合泰国甜菠萝，热带风味独特。金黄清澈，酒体轻盈，微苦爽脆。","ساي بلاي كولد آي بي إيه قليل السعرات (490 مل)","آي بي إيه بارد قليل السعرات، سهل الشرب ومثالي للحفلات. باشن فروت مع الأناناس التايلاندي الحلو. لون ذهبي صافٍ وقوام خفيف ومرارة لطيفة.","","Yes","Phuket Local Craft Beer","330","","","","","","","","","","","","","","","",""
"SUMMERLAY Fruit Ale - Mangomelo (490 ml.)","Refreshing fruited Wheat Ale designed for sandy beaches and summer vibes. A tropical blend of ripe mango, Thai pomelo, pink guava and passion fruit. Bright and sunny with a slight fruity haze, perfectly balanced sweet and tart.","SUMMERLAY Fruit Ale — Mangomelo (490 мл)","Освежающий пшеничный фруктовый эль для пляжа и лета. Тропическая смесь спелого манго, тайского помело, розовой гуавы и маракуйи. Яркий, с лёгкой дымкой, сбалансированно сладко-кислый.","ซัมเมอร์เลย์ ฟรุตเอล แมงโกเมโล (490 มล.)","วีตเอลผลไม้ สดชื่น เหมาะกับทะเลและหน้าร้อน ผสมมะม่วงสุก ส้มโอไทย ฝรั่งชมพู และเสาวรส สีสดใสขุ่นนิด รสหวานอมเปรี้ยวสมดุล","夏日果香小麦艾尔 - 芒果蜜 (490毫升)","清爽果味小麦艾尔，为沙滩与夏日而生。成熟芒果、泰国柚子、粉红番石榴与百香果的热带组合。色泽明亮微浊，酸甜平衡。","سمرلاي فروت إيل — مانجوميلو (490 مل)","إيل قمح بالفواكه منعش مصمم للشواطئ وأجواء الصيف. مزيج استوائي من المانجو الناضجة والبوملي التايلاندي والجوافة الوردية والباشن فروت. متوازن بين الحلاوة والحموضة.","","Yes","Phuket Local Craft Beer","330","","","","","","","","","","","","","","","",""
"Tawandang Rose (490 ml.)","Rosé-style Fruit Beer. Fragrant berry and mixed fruit aromas with a harmonious sweet-and-sour profile. Clear pink hue, easy-drinking and refreshing; great for those who enjoy fruity, casual drinks.","Tawandang Rose (490 мл)","Фруктовое пиво в стиле розе. Ароматы ягод и фруктов с гармоничным кисло-сладким профилем. Прозрачный розовый цвет, лёгкое и освежающее.","ตะวันแดง โรเซ่ (490 มล.)","เบียร์ผลไม้สไตล์โรเซ่ กลิ่นเบอร์รีและผลไม้รวม รสหวานอมเปรี้ยวกลมกล่อม สีชมพูใส ดื่มง่าย สดชื่น","TAWANDANG 玫瑰果啤 (490毫升)","桃红风格果味啤酒。浓郁浆果与综合水果香气，酸甜和谐。粉红清澈，易饮清爽，适合喜爱果味轻松饮品的人。","تاوانداغ روزيه (490 مل)","بيرة فواكه بأسلوب الروزيه. روائح التوت والفواكه المشكلة بتوازن حلو وحامض. لون وردي صافٍ وسهل الشرب ومنعش.","","Yes","Phuket Local Craft Beer","330","","","","","","","","","","","","","","","",""
"Phuket Island Beer (490 ml.)","Island-style Lager. Subtle malt and gentle hop notes featuring the signature craft taste of Phuket. Smooth, clean, golden beer; the ultimate thirst-quencher for beach days and warm weather.","Phuket Island Beer (490 мл)","Лагер в островном стиле. Мягкий солод и деликатный хмель — фирменный крафтовый вкус Пхукета. Гладкое, чистое золотистое пиво, отлично утоляет жажду.","ภูเก็ต ไอส์แลนด์ เบียร์ (490 มล.)","ลาเกอร์สไตล์เกาะ กลิ่นมอลต์และฮอปอ่อน ๆ เอกลักษณ์คราฟต์ภูเก็ต สีทอง ดื่มง่าย สะอาด ดับกระหายในวันอากาศร้อน","普吉岛啤酒 (490毫升)","海岛风格拉格。细腻麦芽与柔和啤酒花，展现普吉精酿标志风味。顺滑洁净金黄色，是海滩与炎热天气的最佳解渴之选。","بيرة جزيرة بوكيت (490 مل)","لاغر بأسلوب الجزيرة. شعير ناعم ولمسات جنجل لطيفة تعكس نكهة بوكيت الحرفية. بيرة ذهبية نظيفة وسلسة تروي العطش في الأجواء الحارة.","","Yes","Phuket Local Craft Beer","330","","","","","","","","","","","","","","","",""
"Martini Dry","","Мартини Драй","","มาร์ตินี่ ดราย","","马天尼干型","","مارتيني دراي","","","Yes","Aperitifs","290","","","","","","","","","","","","","","","",""
"Martini Rosso","","Мартини Россо","","มาร์ตินี่ รอสโซ","","马天尼红型","","مارتيني روسو","","","Yes","Aperitifs","290","","","","","","","","","","","","","","","",""
"Campari","","Кампари","","คัมปารี","","金巴利","","كامباري","","","Yes","Aperitifs","290","","","","","","","","","","","","","","","",""
"Grey Goose","","Грей Гуз","","เกรย์ กูส","","灰雁","","غراي غوس","","","Yes","Vodka","390","","","","","","","","","","","","","","","",""
"Absolut","","Абсолют","","แอบโซลูท","","绝对伏特加","","أبسولوت","","","Yes","Vodka","320","","","","","","","","","","","","","","","",""
"Smirnoff","","Смирнофф","","สเมอร์นอฟ","","斯米诺","","سميرنوف","","","Yes","Vodka","320","","","","","","","","","","","","","","","",""
"Captain Morgan","","Капитан Морган","","กัปตันมอร์แกน","","摩根船长","","كابتن مورغان","","","Yes","Rum","320","","","","","","","","","","","","","","","",""
"Bacardi 8 Years","","Бакарди 8 лет","","บาคาร์ดี้ 8 ปี","","百加得8年","","باكاردي 8 سنوات","","","Yes","Rum","390","","","","","","","","","","","","","","","",""
"Bacardi","","Бакарди","","บาคาร์ดี้","","百加得","","باكاردي","","","Yes","Rum","290","","","","","","","","","","","","","","","",""
"Thai Rum (Sangsom)","","Тайский ром (Сангсом)","","รัมไทย (แสงโสม)","","泰国朗姆(湄公/山som)","","روم تايلاندي (سانغسوم)","","","Yes","Rum","290","","","","","","","","","","","","","","","",""
"Sierra Silver","","Сьерра Сильвер","","เซียร์ร่า ซิลเวอร์","","西拉银龙舌兰","","سييرا سيلفر","","","Yes","Tequila","320","","","","","","","","","","","","","","","",""
"Sierra Gold","","Сьерра Голд","","เซียร์ร่า โกลด์","","西拉金龙舌兰","","سييرا غولد","","","Yes","Tequila","320","","","","","","","","","","","","","","","",""
"Chivas Regal","","Чивас Ригал","","ชีวาส รีกัล","","芝华士","","شيفاز ريغال","","","Yes","Scotch Whiskeys","390","","","","","","","","","","","","","","","",""
"Johnnie Walker Red Label","","Джонни Уокер Ред Лейбл","","จอห์นนี่ วอล์กเกอร์ เรดเลเบิล","","尊尼获加红牌","","جوني ووكر ريد ليبل","","","Yes","Scotch Whiskeys","290","","","","","","","","","","","","","","","",""
"Johnnie Walker Black Label","","Джонни Уокер Блэк Лейбл","","จอห์นนี่ วอล์กเกอร์ แบล็กเลเบิล","","尊尼获加黑牌","","جوني ووكر بلاك ليبل","","","Yes","Scotch Whiskeys","390","","","","","","","","","","","","","","","",""
"Jack Daniel's","","Джек Дэниелс","","แจ็ค แดเนียลส์","","杰克丹尼","","جاك دانيلز","","","Yes","Bourbon & Whiskeys","420","","","","","","","","","","","","","","","",""
"Jim Beam","","Джим Бим","","จิม บีม","","占边","","جيم بيم","","","Yes","Bourbon & Whiskeys","320","","","","","","","","","","","","","","","",""
"Southern Comfort","","Саузерн Комфорт","","เซาเทิร์น คอมฟอร์ต","","南方安逸","","ساذرن كومفورت","","","Yes","Bourbon & Whiskeys","320","","","","","","","","","","","","","","","",""
"Hennessy XO","","Хеннесси XO","","เฮนเนสซี่ XO","","轩尼诗XO","","هينيسي إكس أو","","","Yes","Cognac","3000","","","","","","","","","","","","","","","",""
"Hennessy V.S.O.P","","Хеннесси V.S.O.P","","เฮนเนสซี่ V.S.O.P","","轩尼诗VSOP","","هينيسي في إس أو بي","","","Yes","Cognac","540","","","","","","","","","","","","","","","",""
"Remy Martin V.S.O.P","","Реми Мартан V.S.O.P","","เรมี มาร์แต็ง V.S.O.P","","人头马VSOP","","ريمي مارتان في إس أو بي","","","Yes","Cognac","540","","","","","","","","","","","","","","","",""
"Cointreau","","Куантро","","คอนโทรว์","","君度","","كوانترو","","","Yes","Liqueurs","360","","","","","","","","","","","","","","","",""
"Kahlua","","Калуа","","คาลูอา","","甘露咖啡酒","","كالوا","","","Yes","Liqueurs","360","","","","","","","","","","","","","","","",""
"Baileys","","Бейлис","","เบลีย์ส","","百利甜酒","","بيليز","","","Yes","Liqueurs","360","","","","","","","","","","","","","","","",""
